itr, time in nanosec 
1, 399829
2, 392878
3, 389951
4, 387077
5, 390813
6, 388673
7, 389250
8, 383748
9, 348790
10, 345444
11, 344686
12, 344661
13, 346237
14, 344408
15, 346316
16, 344321
17, 349002
18, 343837
19, 350929
20, 344236
21, 346102
22, 344282
23, 314187
24, 190605
25, 188664
26, 189667
27, 187724
28, 188082
29, 191603
30, 187221
31, 187643
32, 188158
33, 236960
34, 344387
35, 350051
36, 344636
37, 346512
38, 346101
39, 345885
40, 346538
41, 343257
42, 346986
43, 344904
44, 341577
45, 345231
46, 345854
47, 321451
48, 295450
49, 296742
50, 298173
51, 295209
52, 294797
53, 298016
54, 296175
55, 300192
56, 292833
57, 294490
58, 296521
59, 294944
60, 301083
61, 296236
62, 299432
63, 297077
64, 297718
65, 295898
66, 297084
67, 296051
68, 297336
69, 304066
70, 296366
71, 298574
72, 293734
73, 298198
74, 297282
75, 294644
76, 296268
77, 297571
78, 294407
79, 199004
80, 188845
81, 189610
82, 188864
83, 188300
84, 188676
85, 188015
86, 187901
87, 187652
88, 188336
89, 238625
90, 294590
91, 297144
92, 267706
93, 271191
94, 266934
95, 270429
96, 270130
97, 270368
98, 269741
99, 266170
100, 272718
101, 269496
102, 269973
103, 271663
104, 268534
105, 273868
106, 268683
107, 268290
108, 272297
109, 270108
110, 270743
111, 269113
112, 269651
113, 272130
114, 269970
115, 273868
116, 270224
117, 269563
118, 269361
119, 269223
120, 270429
121, 270300
122, 267057
123, 270200
124, 271399
125, 268073
126, 270512
127, 268851
128, 271684
129, 267717
130, 269464
131, 269577
132, 268485
133, 272061
134, 269972
135, 276106
136, 256987
137, 258110
138, 258243
139, 258457
140, 257156
141, 258215
142, 258692
143, 258669
144, 258258
145, 258066
146, 260724
147, 258771
148, 260779
149, 258479
150, 265007
151, 256186
152, 259123
153, 260386
154, 257938
155, 261044
156, 259386
157, 259354
158, 257663
159, 259068
160, 259781
161, 256689
162, 259058
163, 258129
164, 257449
165, 259041
166, 260565
167, 258445
168, 257288
169, 258355
170, 259401
171, 258508
172, 257602
173, 258662
174, 257566
175, 259649
176, 256269
177, 259301
178, 259421
179, 259044
180, 258033
181, 266495
182, 248317
183, 248320
184, 250548
185, 247174
186, 247998
187, 247794
188, 248695
189, 247491
190, 248049
191, 246078
192, 248669
193, 247947
194, 251145
195, 247260
196, 249777
197, 260037
198, 249942
199, 246998
200, 249121
201, 247982
202, 247628
203, 248032
204, 250300
205, 247814
206, 251379
207, 249177
208, 245582
209, 248923
210, 246960
211, 248785
212, 247831
213, 248382
214, 248405
215, 250472
216, 249007
217, 249414
218, 249052
219, 251271
220, 246696
221, 248929
222, 251945
223, 248354
224, 247569
225, 248949
226, 249338
227, 248411
228, 248583
229, 256071
230, 237580
231, 237730
232, 238673
233, 239246
234, 239620
235, 237148
236, 238102
237, 241436
238, 237932
239, 239783
240, 238706
241, 238289
242, 242162
243, 238512
244, 239875
245, 239143
246, 240360
247, 237887
248, 236419
249, 237847
250, 241643
251, 240526
252, 238132
253, 238009
254, 237758
255, 236813
256, 240373
257, 240500
258, 237528
259, 240175
260, 240750
261, 237113
262, 241871
263, 239868
264, 238475
265, 239976
266, 238436
267, 238877
268, 238073
269, 236687
270, 236488
271, 238406
272, 238826
273, 238437
274, 237762
275, 237085
276, 238142
277, 237848
278, 238073
279, 248350
280, 228885
281, 230827
282, 228986
283, 229907
284, 227749
285, 228643
286, 229204
287, 230337
288, 227930
289, 228485
290, 229641
291, 230270
292, 229480
293, 229600
294, 230350
295, 231063
296, 229647
297, 234004
298, 228620
299, 230452
300, 230769
301, 227043
302, 229169
303, 229591
304, 231620
305, 230121
306, 231814
307, 230065
308, 231363
309, 232217
310, 231523
311, 233303
312, 230239
313, 230898
314, 232994
315, 230395
316, 231511
317, 230681
318, 232218
319, 231046
320, 229639
321, 229153
322, 231572
323, 230277
324, 228357
325, 228046
326, 230766
327, 229978
328, 231228
329, 230064
330, 231239
331, 239932
332, 222711
333, 222734
334, 222875
335, 222029
336, 222763
337, 223993
338, 220968
339, 221163
340, 222369
341, 221999
342, 220531
343, 222041
344, 222649
345, 221766
346, 221647
347, 221177
348, 220695
349, 223662
350, 223237
351, 221287
352, 220218
353, 221355
354, 223432
355, 220707
356, 223782
357, 221371
358, 221719
359, 222443
360, 222294
361, 221040
362, 220846
363, 220768
364, 219963
365, 221744
366, 219764
367, 223009
368, 221113
369, 220749
370, 221267
371, 221720
372, 220803
373, 221998
374, 221144
375, 220961
376, 223679
377, 222725
378, 220760
379, 221807
380, 221489
381, 222209
382, 221180
383, 220711
384, 222727
385, 228585
386, 215876
387, 215434
388, 216362
389, 215423
390, 214851
391, 214102
392, 215106
393, 213585
394, 214793
395, 214945
396, 214523
397, 214459
398, 213222
399, 214926
400, 214323
401, 214796
402, 212690
403, 214972
404, 215453
405, 213952
406, 213159
407, 214849
408, 214120
409, 213534
410, 214156
411, 214206
412, 212331
413, 214736
414, 213935
415, 214299
416, 215373
417, 212729
418, 213849
419, 213418
420, 213872
421, 214904
422, 214519
423, 214149
424, 214072
425, 214444
426, 213793
427, 216064
428, 212816
429, 215569
430, 213255
431, 212549
432, 213564
433, 216179
434, 212210
435, 215143
436, 212820
437, 214177
438, 214098
439, 214822
440, 214334
441, 219300
442, 205383
443, 208627
444, 207459
445, 206922
446, 208341
447, 206616
448, 207976
449, 208319
450, 204916
451, 206746
452, 207467
453, 206810
454, 207087
455, 206647
456, 206211
457, 206594
458, 209419
459, 206438
460, 207320
461, 207405
462, 204680
463, 208021
464, 209250
465, 205234
466, 207394
467, 205409
468, 205367
469, 207240
470, 206559
471, 206093
472, 207690
473, 206853
474, 205917
475, 208931
476, 205946
477, 207988
478, 207453
479, 208281
480, 206573
481, 206791
482, 209026
483, 206609
484, 207450
485, 207013
486, 206536
487, 204924
488, 208686
489, 207435
490, 206399
491, 207128
492, 207770
493, 206086
494, 208805
495, 206827
496, 206990
497, 206589
498, 206380
499, 211001
500, 201421
501, 202488
502, 198737
503, 200139
504, 200391
505, 199346
506, 200237
507, 199948
508, 200191
509, 200085
510, 201733
511, 199568
512, 201310
513, 201395
514, 199853
515, 200510
516, 201471
517, 200000
518, 201826
519, 199654
520, 198673
521, 198898
522, 200449
523, 199930
524, 201362
525, 200898
526, 199089
527, 201009
528, 200565
529, 200602
530, 200715
531, 198118
532, 200895
533, 199471
534, 201313
535, 200562
536, 200666
537, 200851
538, 201941
539, 201199
540, 200717
541, 199761
542, 200629
543, 201118
544, 199729
545, 199142
546, 200002
547, 199739
548, 200022
549, 200780
550, 199970
551, 200346
552, 200196
553, 201765
554, 200094
555, 200056
556, 199274
557, 199770
558, 211347
559, 193628
560, 193177
561, 193923
562, 195176
563, 193716
564, 192982
565, 193737
566, 194977
567, 194897
568, 193965
569, 195052
570, 193163
571, 195105
572, 193943
573, 193816
574, 193031
575, 193263
576, 195885
577, 195178
578, 196169
579, 195331
580, 197109
581, 193044
582, 193972
583, 195021
584, 193558
585, 192717
586, 195422
587, 193105
588, 194530
589, 191705
590, 195519
591, 194697
592, 194046
593, 193184
594, 193413
595, 194671
596, 194777
597, 193986
598, 192702
599, 194841
600, 193852
