itr, time in nanosec 
1, 229443
2, 220365
3, 214950
4, 213710
5, 212991
6, 212021
7, 211126
8, 212103
9, 210966
10, 221680
11, 211447
12, 213975
13, 208302
14, 227221
15, 228123
16, 210778
17, 233683
18, 208917
19, 208440
20, 209455
21, 209384
22, 207989
23, 207628
24, 208032
25, 207889
26, 207796
27, 206613
28, 207769
29, 208531
30, 207764
31, 209759
32, 209590
33, 208523
34, 207609
35, 207613
36, 230007
37, 208132
38, 209212
39, 207145
40, 206544
41, 207175
42, 208102
43, 207894
44, 206426
45, 208127
46, 207298
47, 207700
48, 211240
49, 208237
50, 213824
51, 199499
52, 207721
53, 207009
54, 207446
55, 232132
56, 207510
57, 206719
58, 206308
59, 206531
60, 208540
61, 208791
62, 208002
63, 206256
64, 207108
65, 206972
66, 207152
67, 205699
68, 206460
69, 206521
70, 206528
71, 207748
72, 206974
73, 206687
74, 230317
75, 196921
76, 195853
77, 194598
78, 195690
79, 194785
80, 195277
81, 195041
82, 194703
83, 195706
84, 193164
85, 183674
86, 184042
87, 212570
88, 194887
89, 193420
90, 194920
91, 195422
92, 202968
93, 198401
94, 215270
95, 205598
96, 195739
97, 198196
98, 150652
99, 100481
100, 101600
101, 100191
102, 101041
103, 100733
104, 101242
105, 101915
106, 101397
107, 101428
108, 100548
109, 100622
110, 100474
111, 100625
112, 100474
113, 100488
114, 100499
115, 100193
116, 99547
117, 99551
118, 119145
119, 194495
120, 194435
121, 195381
122, 193612
123, 193612
124, 214872
125, 206167
126, 193399
127, 194889
128, 194397
129, 194747
130, 193608
131, 193990
132, 194644
133, 194452
134, 196265
135, 196765
136, 196558
137, 196464
138, 196410
139, 194880
140, 202064
141, 195238
142, 195129
143, 193122
144, 204425
145, 157255
146, 157610
147, 156847
148, 157428
149, 157922
150, 158737
151, 157306
152, 157851
153, 156923
154, 157303
155, 157313
156, 157466
157, 157756
158, 156269
159, 157652
160, 157238
161, 157523
162, 157217
163, 157510
164, 158361
165, 158538
166, 158346
167, 157963
168, 157663
169, 159892
170, 157559
171, 157881
172, 157348
173, 157559
174, 157517
175, 157559
176, 157658
177, 156176
178, 157363
179, 159462
180, 159017
181, 157762
182, 157998
183, 157290
184, 157980
185, 156688
186, 157133
187, 156823
188, 157909
189, 157118
190, 155939
191, 156142
192, 156675
193, 157071
194, 157585
195, 161198
196, 157888
197, 158024
198, 157193
199, 156948
200, 157288
201, 158227
202, 156691
203, 157133
204, 157926
205, 155821
206, 156229
207, 156993
208, 157297
209, 158609
210, 156907
211, 156479
212, 157946
213, 156515
214, 156743
215, 155774
216, 156299
217, 156123
218, 154607
219, 156421
220, 167295
221, 149586
222, 149851
223, 151441
224, 151394
225, 149933
226, 150409
227, 149531
228, 149592
229, 150100
230, 150572
231, 150758
232, 150791
233, 150809
234, 149925
235, 150297
236, 150222
237, 151086
238, 151580
239, 152103
240, 150884
241, 150835
242, 151174
243, 150250
244, 150875
245, 150811
246, 153173
247, 150782
248, 151356
249, 149954
250, 150414
251, 150281
252, 150726
253, 151534
254, 150987
255, 150755
256, 150633
257, 151108
258, 151150
259, 150332
260, 150629
261, 150184
262, 150394
263, 149596
264, 149956
265, 150660
266, 150830
267, 151422
268, 151238
269, 151101
270, 150609
271, 151167
272, 151128
273, 152780
274, 149661
275, 149526
276, 149865
277, 150079
278, 148537
279, 150259
280, 149918
281, 149637
282, 150246
283, 150365
284, 150723
285, 151079
286, 149609
287, 149415
288, 149794
289, 149575
290, 149399
291, 149854
292, 149760
293, 149855
294, 149980
295, 148683
296, 148819
297, 150889
298, 151690
299, 162987
300, 143705
301, 144457
302, 143785
303, 143421
304, 143384
305, 143520
306, 142932
307, 142985
308, 142700
309, 142127
310, 142587
311, 142417
312, 144270
313, 144783
314, 144291
315, 143685
316, 142773
317, 143077
318, 143732
319, 143185
320, 143767
321, 143267
322, 142518
323, 143201
324, 143214
325, 142945
326, 142402
327, 146681
328, 143447
329, 143819
330, 144463
331, 143648
332, 143753
333, 143360
334, 144119
335, 143533
336, 143695
337, 143261
338, 142803
339, 142260
340, 143594
341, 143618
342, 145388
343, 143893
344, 144287
345, 143658
346, 143524
347, 143252
348, 143064
349, 144065
350, 144668
351, 144450
352, 142820
353, 143550
354, 142893
355, 146804
356, 143905
357, 144730
358, 144074
359, 143376
360, 144325
361, 142871
362, 142630
363, 143538
364, 142672
365, 143460
