Itr,time in ns
1,677795.0
2,158897.0
3,116677.0
4,118935.0
5,129089.0
6,128395.0
7,113130.0
8,113381.0
9,112984.0
10,113120.0
11,126524.0
12,127247.0
13,126817.0
14,128042.0
15,111671.0
16,112316.0
17,117262.0
18,112873.0
19,111686.0
20,111694.0
21,112943.0
22,112946.0
23,111127.0
24,116819.0
25,111729.0
26,112267.0
27,111986.0
28,111665.0
29,111098.0
30,113118.0
31,110993.0
32,111748.0
33,111204.0
34,112533.0
35,111078.0
36,111257.0
37,111845.0
38,116590.0
39,115821.0
40,110980.0
41,111827.0
42,112058.0
43,110533.0
44,113035.0
45,93783.0
46,64739.0
47,63269.0
48,62763.0
49,62060.0
50,73271.0
51,72477.0
52,70868.0
53,70774.0
54,71537.0
55,70425.0
56,55279.0
57,55687.0
58,55538.0
59,55217.0
60,55391.0
61,55487.0
62,55078.0
63,54843.0
64,53660.0
65,54872.0
66,54982.0
67,54471.0
68,53931.0
69,53564.0
70,54060.0
71,54134.0
72,53407.0
73,52903.0
74,53850.0
75,53889.0
76,54074.0
77,53695.0
78,52669.0
79,52889.0
80,53160.0
81,54055.0
82,53133.0
83,53634.0
84,53183.0
85,53941.0
86,53826.0
87,53772.0
88,53546.0
89,55538.0
90,54791.0
91,53661.0
92,54052.0
93,54208.0
94,54162.0
95,53245.0
96,53940.0
97,53148.0
98,53202.0
99,53383.0
100,52515.0
101,52040.0
102,50317.0
103,50641.0
104,51321.0
105,52092.0
106,52738.0
107,51016.0
108,49655.0
109,49150.0
110,50192.0
111,49829.0
112,50624.0
113,49909.0
114,49610.0
115,50341.0
116,49453.0
117,52600.0
118,49401.0
119,50108.0
120,50203.0
121,49853.0
122,49884.0
123,48709.0
124,49119.0
125,48495.0
126,73207.0
127,48515.0
128,49887.0
129,52000.0
130,50789.0
131,50565.0
132,50172.0
133,50613.0
134,49735.0
135,50480.0
136,49950.0
137,49468.0
138,48752.0
139,56392.0
140,56677.0
141,55302.0
142,56175.0
143,55252.0
144,54388.0
145,55217.0
146,54990.0
147,55301.0
148,48987.0
149,49013.0
150,48254.0
151,49258.0
152,48738.0
153,49301.0
154,48077.0
155,48750.0
156,49494.0
157,48550.0
158,49137.0
159,49193.0
160,48947.0
161,49295.0
162,49272.0
163,49216.0
164,49386.0
165,49060.0
166,48373.0
167,48064.0
168,48448.0
169,2590479.0
170,68495.0
171,58906.0
172,56883.0
173,55603.0
174,55082.0
175,54634.0
176,53629.0
177,52269.0
178,51977.0
179,51969.0
180,51159.0
181,51702.0
182,51194.0
183,50737.0
184,50603.0
185,50607.0
186,70401.0
187,51428.0
188,50644.0
189,50290.0
190,50311.0
191,48938.0
192,50230.0
193,50014.0
194,50228.0
195,49277.0
196,50082.0
197,50043.0
198,49221.0
199,49796.0
200,49405.0
201,49503.0
202,49043.0
203,49816.0
204,200203.0
205,49349.0
206,49750.0
207,49338.0
208,49181.0
209,48171.0
210,48942.0
211,50349.0
212,49594.0
213,48282.0
214,48954.0
215,48387.0
216,48926.0
217,48976.0
218,49274.0
219,49292.0
220,49349.0
221,49053.0
222,49204.0
223,49254.0
224,49136.0
225,49073.0
226,49583.0
227,49027.0
228,49136.0
229,48878.0
230,48405.0
231,49372.0
232,47918.0
233,48792.0
234,48560.0
235,48910.0
236,56511.0
237,47742.0
238,49324.0
239,50083.0
240,50513.0
241,49792.0
242,50360.0
243,48167.0
244,47968.0
245,49006.0
246,48765.0
247,48737.0
248,48180.0
249,48822.0
250,48683.0
251,48079.0
252,48137.0
253,47856.0
254,47552.0
255,47258.0
256,48065.0
257,52178.0
258,50571.0
259,49760.0
260,50498.0
261,49631.0
262,50550.0
263,49606.0
264,49552.0
265,50485.0
266,50037.0
267,49779.0
268,48722.0
269,50097.0
270,50029.0
271,49158.0
272,49797.0
273,49421.0
274,48032.0
275,49327.0
276,49377.0
277,49002.0
278,50127.0
279,49034.0
280,49395.0
281,49161.0
282,48539.0
283,48814.0
284,48910.0
285,48125.0
286,75875.0
287,48500.0
288,49042.0
289,47754.0
290,47988.0
291,48784.0
292,48039.0
293,48977.0
294,48856.0
295,47793.0
296,48350.0
297,48330.0
298,48302.0
299,48659.0
300,47580.0
301,47793.0
302,48938.0
303,48014.0
304,48578.0
305,47244.0
306,48933.0
307,47622.0
308,48663.0
309,47858.0
310,48789.0
311,49172.0
312,48518.0
313,47969.0
314,48116.0
315,48487.0
316,48019.0
317,48914.0
318,61823.0
319,48468.0
320,48209.0
321,47420.0
322,48555.0
323,47941.0
324,48492.0
325,47888.0
326,48522.0
327,48245.0
328,47843.0
329,47725.0
330,47233.0
331,47101.0
332,48298.0
333,48738.0
334,48169.0
335,48414.0
336,47441.0
337,47067.0
338,48356.0
339,47817.0
340,48487.0
341,48057.0
342,48570.0
343,48648.0
344,47407.0
345,48086.0
346,48267.0
347,48043.0
348,47599.0
349,48299.0
350,47835.0
351,47469.0
352,47864.0
353,47890.0
354,47766.0
355,47542.0
356,48250.0
357,48429.0
358,48230.0
359,47995.0
360,47647.0
361,47159.0
362,47173.0
363,47669.0
364,49294.0
365,47728.0
366,47698.0
367,46854.0
368,47476.0
369,47912.0
370,48007.0
371,46755.0
372,47341.0
373,47484.0
374,92706.0
375,56397.0
376,54214.0
377,52679.0
378,51590.0
379,50929.0
380,50096.0
381,54504.0
382,60297.0
383,59003.0
384,53299.0
385,49992.0
386,56221.0
387,55136.0
388,48112.0
389,40711.0
390,46582.0
391,53858.0
392,53922.0
393,53346.0
394,53191.0
395,46118.0
396,38286.0
397,38908.0
398,38861.0
399,38551.0
400,38602.0
401,38409.0
402,38322.0
403,38272.0
404,43691.0
405,37564.0
406,38635.0
407,38856.0
408,37790.0
409,38047.0
410,37655.0
411,37597.0
412,37517.0
413,37378.0
414,37196.0
415,37721.0
416,37295.0
417,37206.0
418,37064.0
419,37326.0
420,37228.0
421,37327.0
422,36905.0
423,37254.0
424,37521.0
425,37178.0
426,36664.0
427,37088.0
428,36832.0
429,36525.0
430,36766.0
431,36697.0
432,37132.0
433,36924.0
434,36781.0
435,36744.0
436,36994.0
437,36957.0
438,36419.0
439,36460.0
440,36866.0
441,37048.0
442,36734.0
443,36761.0
444,36657.0
445,36948.0
446,37028.0
447,36411.0
448,36657.0
449,37123.0
450,36736.0
451,37229.0
452,36833.0
453,36584.0
454,36694.0
455,36437.0
456,36353.0
457,36361.0
458,36846.0
459,36606.0
460,36799.0
461,36717.0
462,36293.0
463,36340.0
464,36252.0
465,35928.0
466,36042.0
467,36663.0
468,36321.0
469,36442.0
470,36407.0
471,36422.0
472,36185.0
473,36142.0
474,35658.0
475,36598.0
476,36448.0
477,36146.0
478,36501.0
479,71100.0
480,53205.0
481,50625.0
482,53626.0
483,48368.0
484,47369.0
485,44878.0
486,44178.0
487,43007.0
488,42226.0
489,40821.0
490,40376.0
491,39862.0
492,40476.0
493,39960.0
494,39430.0
495,38911.0
496,38718.0
497,38026.0
498,37775.0
499,37517.0
500,37487.0
501,38009.0
502,37566.0
503,37525.0
504,37019.0
505,37160.0
506,36973.0
507,36840.0
508,36546.0
509,37090.0
510,37251.0
511,37534.0
512,36951.0
513,36753.0
514,36676.0
515,36421.0
516,36045.0
517,36022.0
518,36681.0
519,36603.0
520,36288.0
521,36361.0
522,36309.0
523,36145.0
524,35989.0
525,35798.0
526,35939.0
527,36222.0
528,36017.0
529,36329.0
530,36049.0
531,35808.0
532,35921.0
533,35881.0
534,35685.0
535,35501.0
536,35719.0
537,35637.0
538,35655.0
539,35652.0
540,35652.0
541,35436.0
542,35524.0
543,35529.0
544,35586.0
545,36102.0
546,35541.0
547,35481.0
548,35293.0
549,35535.0
550,35376.0
551,35560.0
552,35558.0
553,35942.0
554,35820.0
555,35533.0
556,35202.0
557,35295.0
558,35566.0
559,35379.0
560,34895.0
561,35558.0
562,42229.0
563,35552.0
564,36215.0
565,35946.0
566,35206.0
567,35478.0
568,35205.0
569,35091.0
570,35780.0
571,36440.0
572,35580.0
573,35672.0
574,35875.0
575,35742.0
576,35983.0
577,35405.0
578,35465.0
579,36013.0
580,35698.0
581,35225.0
582,35456.0
583,35255.0
584,35142.0
585,35099.0
586,34844.0
587,34990.0
588,35473.0
589,35352.0
590,35101.0
591,35215.0
592,35018.0
593,34847.0
594,34808.0
595,34757.0
596,35220.0
597,35500.0
598,35161.0
599,35089.0
600,34961.0
