Itr,time in ns
1,719001.0
2,110873.0
3,75114.0
4,78802.0
5,74955.0
6,74087.0
7,74320.0
8,75353.0
9,74291.0
10,74527.0
11,73774.0
12,74483.0
13,73942.0
14,74291.0
15,74160.0
16,74270.0
17,74635.0
18,73888.0
19,74761.0
20,74178.0
21,74979.0
22,96093.0
23,72385.0
24,73739.0
25,72193.0
26,72081.0
27,71877.0
28,72441.0
29,72888.0
30,72648.0
31,71732.0
32,72171.0
33,71966.0
34,71638.0
35,72600.0
36,72029.0
37,72210.0
38,72104.0
39,72203.0
40,71470.0
41,73248.0
42,71807.0
43,71800.0
44,72865.0
45,71415.0
46,72113.0
47,71802.0
48,72098.0
49,71716.0
50,72124.0
51,71756.0
52,71697.0
53,71815.0
54,71431.0
55,72272.0
56,71721.0
57,72334.0
58,71727.0
59,72487.0
60,72346.0
61,58529.0
62,25920.0
63,26641.0
64,25447.0
65,26261.0
66,26319.0
67,32975.0
68,24603.0
69,25692.0
70,26086.0
71,26202.0
72,25338.0
73,25607.0
74,25473.0
75,25509.0
76,26690.0
77,26064.0
78,25334.0
79,25310.0
80,25268.0
81,26090.0
82,25441.0
83,26063.0
84,25318.0
85,26270.0
86,25498.0
87,25451.0
88,25462.0
89,25776.0
90,26387.0
91,26242.0
92,26631.0
93,26048.0
94,26274.0
95,26039.0
96,26383.0
97,33097.0
98,25514.0
99,26262.0
100,25485.0
101,26389.0
102,25495.0
103,26044.0
104,25934.0
105,2926517.0
106,42228.0
107,25520.0
108,25590.0
109,25659.0
110,25538.0
111,25114.0
112,33180.0
113,24614.0
114,24680.0
115,25402.0
116,24674.0
117,41269.0
118,40782.0
119,40915.0
120,33003.0
121,25438.0
122,25617.0
123,24926.0
124,24832.0
125,24863.0
126,25924.0
127,24710.0
128,25416.0
129,27430.0
130,25622.0
131,50514.0
132,24846.0
133,35929.0
134,46065.0
135,46385.0
136,45483.0
137,45688.0
138,44782.0
139,46066.0
140,45683.0
141,44756.0
142,25518.0
143,25341.0
144,24836.0
145,25460.0
146,35061.0
147,35618.0
148,25529.0
149,25539.0
150,44955.0
151,25596.0
152,25263.0
153,33063.0
154,40228.0
155,40852.0
156,25516.0
157,24648.0
158,40035.0
159,25123.0
160,25335.0
161,25201.0
162,25488.0
163,32683.0
164,32566.0
165,25342.0
166,24693.0
167,24676.0
168,31567.0
169,31998.0
170,25456.0
171,25579.0
172,25206.0
173,25289.0
174,32195.0
175,32770.0
176,25226.0
177,25157.0
178,25311.0
179,25629.0
180,31510.0
181,32873.0
182,25209.0
183,25562.0
184,24685.0
185,25316.0
186,31577.0
187,32410.0
188,24583.0
189,24628.0
190,24757.0
191,23958.0
192,24912.0
193,32225.0
194,24717.0
195,24544.0
196,42184.0
197,32685.0
198,24423.0
199,24588.0
200,24576.0
201,32651.0
202,24655.0
203,25359.0
204,24676.0
205,24481.0
206,24743.0
207,24522.0
208,32555.0
209,24767.0
210,39379.0
211,40144.0
212,41410.0
213,39407.0
214,40401.0
215,39426.0
216,40389.0
217,40146.0
218,40063.0
219,40215.0
220,40096.0
221,40157.0
222,40295.0
223,40454.0
224,40282.0
225,40219.0
226,40201.0
227,40282.0
228,39963.0
229,32096.0
230,23977.0
231,25093.0
232,39553.0
233,40037.0
234,40073.0
235,25432.0
236,25162.0
237,24681.0
238,32463.0
239,24422.0
240,24686.0
241,32077.0
242,25536.0
243,31761.0
244,31913.0
245,25293.0
246,31689.0
247,32780.0
248,25156.0
249,25110.0
250,25711.0
251,31774.0
252,24874.0
253,24365.0
254,32006.0
255,24562.0
