Itr,time in ns
1,4.5556965E7
2,724347.0
3,715070.0
4,747660.0
5,525545.0
6,508399.0
7,569833.0
8,557977.0
9,537541.0
10,462316.0
11,422835.0
12,414636.0
13,328129.0
14,270814.0
15,279071.0
16,311416.0
17,258782.0
18,238004.0
19,235263.0
20,224892.0
21,232579.0
22,214169.0
23,215207.0
24,213977.0
25,215857.0
26,214272.0
27,212175.0
28,219824.0
29,224747.0
30,212709.0
31,218378.0
32,217055.0
33,228110.0
34,221831.0
35,219574.0
36,229595.0
37,214702.0
38,257929.0
39,233036.0
40,240735.0
41,215925.0
42,212444.0
43,229542.0
44,220557.0
45,225031.0
46,205186.0
47,210607.0
48,253163.0
49,207990.0
50,224956.0
51,216415.0
52,215242.0
53,276434.0
54,220847.0
55,245659.0
56,207388.0
57,236946.0
58,212633.0
59,237798.0
60,234321.0
61,213005.0
62,214305.0
63,212041.0
64,216311.0
65,239604.0
66,214793.0
67,241279.0
68,224950.0
69,246280.0
70,217782.0
71,219829.0
72,246753.0
73,216590.0
74,241174.0
75,214920.0
76,213484.0
77,240091.0
78,223430.0
79,307141.0
80,209251.0
81,458754.0
82,228283.0
83,210903.0
84,224326.0
85,209554.0
86,186495.0
87,164594.0
88,163576.0
89,190646.0
90,188054.0
91,185263.0
92,164875.0
93,166562.0
94,185072.0
95,185303.0
96,185039.0
97,163612.0
98,157195.0
99,146749.0
100,211881.0
101,139782.0
102,138348.0
103,151200.0
104,163925.0
105,162435.0
106,144116.0
107,181601.0
108,140937.0
109,138036.0
110,161343.0
111,166013.0
112,137257.0
113,138104.0
114,137715.0
115,174104.0
116,136146.0
117,136058.0
118,136576.0
119,157095.0
120,136032.0
121,157170.0
122,181112.0
123,139927.0
124,146034.0
125,138285.0
126,189382.0
127,141543.0
128,148548.0
129,142170.0
130,165398.0
131,198879.0
132,134416.0
133,133704.0
134,158360.0
135,133202.0
136,154619.0
137,179534.0
138,132216.0
139,133523.0
140,140422.0
141,187009.0
142,133510.0
143,145366.0
144,137170.0
145,154004.0
146,161010.0
147,132844.0
148,149745.0
149,132117.0
150,134407.0
151,131218.0
152,199316.0
153,132545.0
154,141259.0
155,131814.0
156,172336.0
157,156033.0
158,132440.0
159,131989.0
160,156186.0
161,131125.0
162,153767.0
163,166506.0
164,137827.0
165,135378.0
166,162752.0
167,209345.0
168,131586.0
169,133510.0
170,131070.0
171,173017.0
172,152486.0
173,131792.0
174,132152.0
175,153172.0
176,130275.0
177,151928.0
178,154458.0
179,131189.0
180,133205.0
181,131741.0
182,200614.0
183,130874.0
184,130455.0
185,132750.0
186,155522.0
187,131269.0
188,166980.0
189,134477.0
190,154321.0
191,133432.0
192,130319.0
193,173625.0
194,131603.0
195,133149.0
196,131491.0
197,189278.0
198,167042.0
199,130615.0
200,131407.0
201,157752.0
202,131450.0
203,153467.0
204,132242.0
205,160158.0
206,132403.0
207,145605.0
208,177287.0
209,132148.0
210,131379.0
211,131515.0
212,192446.0
213,159911.0
214,131421.0
215,130752.0
216,154448.0
217,133753.0
218,139923.0
219,166487.0
220,161039.0
221,131491.0
222,133895.0
223,164240.0
224,153043.0
225,131564.0
226,134748.0
227,204813.0
228,133393.0
229,178257.0
230,134142.0
231,156079.0
232,133268.0
233,155300.0
234,92077.0
235,106332.0
236,92739.0
237,89008.0
238,90999.0
239,88264.0
240,87067.0
241,88585.0
242,89005.0
243,87037.0
244,86097.0
245,91365.0
246,90416.0
247,85976.0
248,84855.0
249,86290.0
250,84921.0
251,84828.0
252,85134.0
253,98881.0
254,85271.0
255,84723.0
256,115898.0
257,93637.0
258,88173.0
259,102811.0
260,87148.0
261,86952.0
262,89518.0
263,90788.0
264,106073.0
265,88257.0
266,86240.0
267,118874.0
268,87134.0
269,86510.0
270,88076.0
271,85058.0
272,87811.0
273,91026.0
274,89651.0
275,85557.0
276,90616.0
277,105734.0
278,85554.0
279,95811.0
280,89732.0
281,84555.0
282,85027.0
283,86737.0
284,84433.0
285,84024.0
286,84604.0
287,119910.0
288,84947.0
289,84974.0
290,84580.0
291,84935.0
292,86076.0
293,84637.0
294,86644.0
295,84087.0
296,85069.0
297,85709.0
298,109502.0
299,86761.0
300,84439.0
301,84458.0
302,85845.0
303,84510.0
304,85341.0
305,85295.0
306,84332.0
307,101031.0
308,107482.0
309,83783.0
310,83358.0
311,84651.0
312,94072.0
313,82868.0
314,136540.0
315,83564.0
316,84827.0
317,83403.0
318,103184.0
319,84070.0
320,91041.0
321,85312.0
322,84613.0
323,85056.0
324,107454.0
325,84159.0
326,249795.0
327,94446.0
328,88260.0
329,82676.0
330,80280.0
331,80104.0
332,79379.0
333,84291.0
334,106787.0
335,80975.0
336,80524.0
337,79705.0
338,79712.0
339,80768.0
340,79729.0
341,79353.0
342,79967.0
343,99695.0
344,80318.0
345,127377.0
346,81001.0
347,79776.0
348,80812.0
349,80889.0
350,79529.0
351,80101.0
352,78975.0
353,79843.0
354,91306.0
355,123629.0
356,84531.0
357,80166.0
358,79522.0
359,78650.0
360,79937.0
361,80417.0
362,78733.0
363,78763.0
364,79274.0
365,107913.0
366,80948.0
367,78547.0
368,78487.0
369,78433.0
370,80165.0
371,78040.0
372,79724.0
373,79709.0
374,78748.0
375,96901.0
376,80413.0
377,80382.0
378,79723.0
379,79202.0
380,78606.0
381,77548.0
382,78830.0
383,79143.0
384,88546.0
385,81830.0
386,125843.0
387,79623.0
388,80879.0
389,69317.0
390,67834.0
391,85405.0
392,68516.0
393,69583.0
394,67323.0
395,69219.0
396,69059.0
397,67654.0
398,67583.0
399,68426.0
400,68821.0
401,79514.0
402,75059.0
403,68650.0
404,66801.0
405,66276.0
406,67156.0
407,65460.0
408,75161.0
409,67711.0
410,79145.0
411,67689.0
412,65306.0
413,65576.0
414,65078.0
415,64614.0
416,65255.0
417,64552.0
418,65135.0
419,64363.0
420,64816.0
421,64784.0
422,64055.0
423,64944.0
424,64822.0
425,65860.0
426,64822.0
427,65440.0
428,64546.0
429,64378.0
430,65397.0
431,93088.0
432,66549.0
433,65795.0
434,66030.0
435,78357.0
436,72014.0
437,65302.0
438,72155.0
439,65562.0
440,65251.0
441,66121.0
442,64740.0
443,65214.0
444,64798.0
445,64876.0
446,64956.0
447,64146.0
448,64757.0
449,64598.0
450,63545.0
451,64737.0
452,65139.0
453,64440.0
454,64636.0
455,64858.0
456,64929.0
457,64579.0
458,64152.0
459,65156.0
460,64470.0
461,63942.0
462,63612.0
463,64143.0
464,64056.0
465,63382.0
466,65342.0
467,64449.0
468,64335.0
469,64758.0
470,64394.0
471,63485.0
